Ano,Valor,Jogo,Base_100
2011,8351.75,Dota 2,100.0
2012,93936.08333333333,Dota 2,1124.747308448329
2013,444866.8333333333,Dota 2,5326.630147374302
2014,820927.5833333334,Dota 2,9829.408008301654
2015,985203.4166666666,Dota 2,11796.371020045699
2016,1114168.9166666667,Dota 2,13340.544396882891
2017,912141.5833333334,Dota 2,10921.56234721266
2018,785692.5833333334,Dota 2,9407.52037996029
2019,859511.0,Dota 2,10291.388032448289
2020,713758.0,Dota 2,8546.208878378784
2021,703894.0833333334,Dota 2,8428.10289260734
2022,793089.1666666666,Dota 2,9496.083655122178
2023,757363.9166666666,Dota 2,9068.325999541014
2024,787648.75,Dota 2,9430.942616816834
2025,762112.25,Dota 2,9125.180351423354
2026,864090.5,Dota 2,10346.220851917264
2011,15.0,League of Legends,100.0
2012,32.0,League of Legends,213.33333333333334
2013,67.0,League of Legends,446.6666666666667
2014,70.0,League of Legends,466.6666666666667
2015,90.0,League of Legends,600.0
2016,100.0,League of Legends,666.6666666666667
2017,81.0,League of Legends,540.0
2018,75.0,League of Legends,500.0
2019,116.0,League of Legends,773.3333333333334
2020,137.0,League of Legends,913.3333333333333
2021,149.0,League of Legends,993.3333333333334
2022,152.0,League of Legends,1013.3333333333333
2023,152.0,League of Legends,1013.3333333333333
2024,132.0,League of Legends,880.0000000000001
2025,131.0,League of Legends,873.3333333333333
2015,18421.0,SMITE,100.0
2016,19476.5,SMITE,105.72987351392433
2017,18008.75,SMITE,97.76206503447152
2018,15223.0,SMITE,82.6393789696542
2019,14957.666666666666,SMITE,81.19899390188733
2020,23277.416666666668,SMITE,126.36348008613358
2021,23905.25,SMITE,129.77172791922263
2022,20111.666666666668,SMITE,109.17793098456472
2023,18376.416666666668,SMITE,99.75797549897763
2024,13889.5,SMITE,75.40035828673797
2025,3097.5,SMITE,16.81504804299441
2026,2413.5,SMITE,13.10189457684165
