Ano,Valor,Jogo
2011,8351.75,Dota 2
2012,93936.08333333333,Dota 2
2013,444866.8333333333,Dota 2
2014,820927.5833333334,Dota 2
2015,985203.4166666666,Dota 2
2016,1114168.9166666667,Dota 2
2017,912141.5833333334,Dota 2
2018,785692.5833333334,Dota 2
2019,859511.0,Dota 2
2020,713758.0,Dota 2
2021,703894.0833333334,Dota 2
2022,793089.1666666666,Dota 2
2023,757363.9166666666,Dota 2
2024,787648.75,Dota 2
2025,762112.25,Dota 2
2026,864090.5,Dota 2
2011,15.0,League of Legends
2012,32.0,League of Legends
2013,67.0,League of Legends
2014,70.0,League of Legends
2015,90.0,League of Legends
2016,100.0,League of Legends
2017,81.0,League of Legends
2018,75.0,League of Legends
2019,116.0,League of Legends
2020,137.0,League of Legends
2021,149.0,League of Legends
2022,152.0,League of Legends
2023,152.0,League of Legends
2024,132.0,League of Legends
2025,131.0,League of Legends
2015,18421.0,SMITE
2016,19476.5,SMITE
2017,18008.75,SMITE
2018,15223.0,SMITE
2019,14957.666666666666,SMITE
2020,23277.416666666668,SMITE
2021,23905.25,SMITE
2022,20111.666666666668,SMITE
2023,18376.416666666668,SMITE
2024,13889.5,SMITE
2025,3097.5,SMITE
2026,2413.5,SMITE
