Month,Valor,Indice,Jogo
2025-05-01,13178039.0,100.0,League of Legends
2025-06-01,20574951.0,156.13059727627152,League of Legends
2025-07-01,23643626.0,179.41687682059523,League of Legends
2025-08-01,29634339.0,224.876698270509,League of Legends
2025-09-01,35177744.0,266.94217553916786,League of Legends
2025-10-01,33170729.0,251.71217811694135,League of Legends
2025-11-01,39531642.0,299.9812187534124,League of Legends
2025-12-01,24839037.0,188.48811268505125,League of Legends
2026-01-01,29202369.0,221.59874469942,League of Legends
2026-02-01,23785537.0,180.49375176382466,League of Legends
2026-03-01,21100073.0,160.11542385024055,League of Legends
2026-04-01,16413143.0,124.54920644869847,League of Legends
2025-05-01,408987.68,100.0,Dota 2
2025-06-01,411123.31,100.5221746532805,Dota 2
2025-07-01,426672.67,104.32408868648562,Dota 2
2025-08-01,532355.19,130.16411398993728,Dota 2
2025-09-01,580820.63,142.01421177283385,Dota 2
2025-10-01,538998.03,131.78832917412083,Dota 2
2025-11-01,583743.77,142.7289374584584,Dota 2
2025-12-01,594289.94,145.30754080416307,Dota 2
2026-01-01,569324.18,139.2032591299572,Dota 2
2026-02-01,597009.82,145.97256817124662,Dota 2
2026-03-01,477855.57,116.83862213160063,Dota 2
2026-04-01,425918.58,104.13970904942661,Dota 2
2025-05-01,1672.25,100.0,SMITE
2025-06-01,1583.53,94.69457317984751,SMITE
2025-07-01,1484.4,88.7666317835252,SMITE
2025-08-01,1482.9,88.67693227687248,SMITE
2025-09-01,1387.0,82.942143818209,SMITE
2025-10-01,1292.04,77.26356705038123,SMITE
2025-11-01,1339.59,80.10704141127223,SMITE
2025-12-01,1324.79,79.22200627896547,SMITE
2026-01-01,1441.47,86.19943190312453,SMITE
2026-02-01,1292.18,77.27193900433548,SMITE
2026-03-01,1211.53,72.44909552997458,SMITE
2026-04-01,1198.11,71.6465839437883,SMITE
