"Time","League of Legends","Dota 2","Smite"
"2004-01-01",3,0,0
"2004-02-01",3,0,0
"2004-03-01",4,0,0
"2004-04-01",3,1,0
"2004-05-01",4,1,0
"2004-06-01",4,1,0
"2004-07-01",4,2,0
"2004-08-01",4,1,0
"2004-09-01",4,3,0
"2004-10-01",4,4,0
"2004-11-01",4,2,0
"2004-12-01",5,2,0
"2005-01-01",4,2,0
"2005-02-01",4,2,0
"2005-03-01",4,4,0
"2005-04-01",4,4,0
"2005-05-01",5,4,0
"2005-06-01",5,4,0
"2005-07-01",4,5,0
"2005-08-01",4,5,0
"2005-09-01",5,6,0
"2005-10-01",5,5,0
"2005-11-01",5,9,0
"2005-12-01",6,8,0
"2006-01-01",5,6,0
"2006-02-01",6,7,0
"2006-03-01",6,8,0
"2006-04-01",5,9,0
"2006-05-01",5,7,0
"2006-06-01",5,10,0
"2006-07-01",5,9,0
"2006-08-01",5,12,0
"2006-09-01",5,11,0
"2006-10-01",5,12,0
"2006-11-01",5,11,0
"2006-12-01",6,10,0
"2007-01-01",6,13,0
"2007-02-01",6,11,0
"2007-03-01",6,13,0
"2007-04-01",6,11,0
"2007-05-01",6,11,0
"2007-06-01",6,15,0
"2007-07-01",5,12,0
"2007-08-01",5,13,0
"2007-09-01",5,12,0
"2007-10-01",6,13,0
"2007-11-01",6,12,0
"2007-12-01",7,12,0
"2008-01-01",6,13,0
"2008-02-01",6,16,0
"2008-03-01",6,14,0
"2008-04-01",6,14,0
"2008-05-01",6,17,0
"2008-06-01",6,15,0
"2008-07-01",5,18,0
"2008-08-01",5,18,0
"2008-09-01",5,16,0
"2008-10-01",6,20,0
"2008-11-01",6,18,0
"2008-12-01",6,17,0
"2009-01-01",6,20,0
"2009-02-01",9,21,0
"2009-03-01",8,20,0
"2009-04-01",7,20,0
"2009-05-01",6,21,0
"2009-06-01",6,26,0
"2009-07-01",6,27,0
"2009-08-01",7,27,0
"2009-09-01",8,25,0
"2009-10-01",8,23,0
"2009-11-01",9,21,0
"2009-12-01",10,24,0
"2010-01-01",11,23,0
"2010-02-01",11,21,0
"2010-03-01",12,22,0
"2010-04-01",14,22,0
"2010-05-01",15,21,0
"2010-06-01",16,22,0
"2010-07-01",20,25,0
"2010-08-01",21,26,0
"2010-09-01",23,21,0
"2010-10-01",24,27,0
"2010-11-01",22,22,0
"2010-12-01",24,25,0
"2011-01-01",28,24,0
"2011-02-01",30,22,0
"2011-03-01",31,21,0
"2011-04-01",38,24,0
"2011-05-01",38,23,0
"2011-06-01",43,24,0
"2011-07-01",44,26,0
"2011-08-01",52,37,0
"2011-09-01",49,27,0
"2011-10-01",48,27,0
"2011-11-01",44,29,0
"2011-12-01",48,31,0
"2012-01-01",47,28,0
"2012-02-01",49,28,0
"2012-03-01",49,31,0
"2012-04-01",56,30,0
"2012-05-01",54,26,0
"2012-06-01",61,29,2
"2012-07-01",63,29,4
"2012-08-01",66,28,3
"2012-09-01",57,28,2
"2012-10-01",76,31,2
"2012-11-01",72,29,2
"2012-12-01",76,31,1
"2013-01-01",74,31,2
"2013-02-01",77,31,2
"2013-03-01",78,32,2
"2013-04-01",80,30,3
"2013-05-01",83,32,3
"2013-06-01",86,31,3
"2013-07-01",88,37,3
"2013-08-01",94,43,3
"2013-09-01",100,32,3
"2013-10-01",96,33,3
"2013-11-01",98,35,3
"2013-12-01",92,37,4
"2014-01-01",92,33,5
"2014-02-01",91,32,5
"2014-03-01",88,31,5
"2014-04-01",90,32,6
"2014-05-01",91,37,6
"2014-06-01",89,39,6
"2014-07-01",95,47,7
"2014-08-01",98,40,7
"2014-09-01",97,35,6
"2014-10-01",93,33,6
"2014-11-01",86,33,5
"2014-12-01",82,33,6
"2015-01-01",89,33,8
"2015-02-01",93,34,6
"2015-03-01",87,31,6
"2015-04-01",81,30,6
"2015-05-01",85,34,6
"2015-06-01",81,31,6
"2015-07-01",84,32,7
"2015-08-01",83,37,6
"2015-09-01",83,29,7
"2015-10-01",95,26,6
"2015-11-01",82,26,5
"2015-12-01",75,27,5
"2016-01-01",75,25,6
"2016-02-01",72,24,6
"2016-03-01",71,23,7
"2016-04-01",70,23,7
"2016-05-01",72,25,6
"2016-06-01",66,26,6
"2016-07-01",58,21,5
"2016-08-01",55,26,5
"2016-09-01",56,18,5
"2016-10-01",65,19,4
"2016-11-01",63,15,4
"2016-12-01",63,22,4
"2017-01-01",65,16,6
"2017-02-01",60,17,5
"2017-03-01",57,16,4
"2017-04-01",60,17,4
"2017-05-01",57,18,4
"2017-06-01",50,16,3
"2017-07-01",52,14,3
"2017-08-01",49,21,3
"2017-09-01",51,14,2
"2017-10-01",59,13,2
"2017-11-01",56,15,2
"2017-12-01",49,13,2
"2018-01-01",44,12,3
"2018-02-01",44,12,3
"2018-03-01",42,12,3
"2018-04-01",37,10,2
"2018-05-01",41,11,3
"2018-06-01",41,12,3
