Ano,League of Legends,Dota 2,SMITE
2004,3.8333333333333335,1.4166666666666667,0.0
2005,4.583333333333333,4.833333333333333,0.0
2006,5.25,9.333333333333334,0.0
2007,5.833333333333333,12.333333333333334,0.0
2008,5.75,16.333333333333332,0.0
2009,7.5,22.916666666666668,0.0
2010,17.75,23.083333333333332,0.0
2011,41.083333333333336,26.25,0.0
2012,60.5,29.0,1.3333333333333333
2013,87.16666666666667,33.666666666666664,2.8333333333333335
2014,91.0,35.416666666666664,5.833333333333333
2015,84.83333333333333,30.833333333333332,6.166666666666667
2016,65.5,22.25,5.416666666666667
2017,55.416666666666664,15.833333333333334,3.3333333333333335
2018,39.5,10.75,2.5
2019,36.75,9.166666666666666,2.0
2020,39.0,7.333333333333333,2.4166666666666665
2021,30.5,6.916666666666667,2.1666666666666665
2022,33.916666666666664,9.0,1.8333333333333333
2023,36.75,7.083333333333333,1.5833333333333333
2024,36.0,9.083333333333334,1.4166666666666667
2025,33.833333333333336,8.583333333333334,1.1666666666666667
2026,36.666666666666664,8.5,1.0
