Mês,Pico,Ganho,Ganho%,Pico_Mínimo_Diário,Pico_Médio_Diário
February 2026,1616456,-19139,-1%,1386034,1489516
January 2026,1635595,+5092,0%,1317931,1486515
December 2025,1630503,+9559,+1%,1284354,1469543
November 2025,1620944,+26420,+2%,1323834,1464990
October 2025,1594524,+36334,+2%,1252143,1426109
September 2025,1558190,+67372,+5%,1283009,1435044
August 2025,1490818,+56992,+4%,1235446,1340827
July 2025,1433826,-291989,-17%,1248464,1337771
June 2025,1725815,+4508,0%,1291292,1552093
May 2025,1721307,-141224,-8%,1426423,1602764
April 2025,1862531,+47121,+3%,1556330,1698735
March 2025,1815410,+30719,+2%,1572453,1704704
February 2025,1784691,+189081,+12%,1285371,1553454
January 2025,1595610,-142912,-8%,1155540,1390985
December 2024,1738522,+180027,+12%,1365004,1539622
November 2024,1558495,+74450,+5%,1249266,1407388
October 2024,1484045,+9428,+1%,1278907,1342894
September 2024,1474617,+47233,+3%,1474617,1474617
August 2024,1427384,+83871,+6%,1427384,1427384
July 2024,1343513,-167327,-11%,1343513,1343513
June 2024,1510840,-104085,-7%,1510840,1510840
May 2024,1614925,-5379,0%,1614925,1614925
April 2024,1620304,+98508,+7%,1620304,1620304
March 2024,1521796,+172929,+13%,1521796,1521796
February 2024,1348867,+70960,+6%,1348867,1348867
January 2024,1277907,+29690,+2%,1277907,1277907
December 2023,1248217,+88334,+8%,1248217,1248217
November 2023,1159883,-206384,-15%,1159883,1159883
October 2023,1366267,-191615,-12%,1366267,1366267
September 2023,1557882,+187001,+14%,1557882,1557882
August 2023,1370881,+146745,+12%,1370881,1370881
July 2023,1224136,-440069,-27%,1224136,1224136
June 2023,1664205,-136847,-8%,1664205,1664205
May 2023,1801052,+290821,+19%,1801052,1801052
April 2023,1510231,-10745,-1%,1510231,1510231
March 2023,1520976,+166728,+12%,1520976,1520976
February 2023,1354248,+153364,+13%,1354248,1354248
January 2023,1200884,+135805,+13%,1200884,1200884
December 2022,1065079,-66959,-6%,1065079,1065079
November 2022,1132038,+46092,+4%,850489,983456
October 2022,1085946,-14752,-1%,763210,958824
September 2022,1100698,+63047,+6%,752906,969525
August 2022,1037651,+110524,+12%,710675,937706
July 2022,927127,+22377,+3%,816921,862058
June 2022,904750,-25927,-3%,781317,842419
May 2022,930677,-78777,-8%,765124,835463
April 2022,1009454,+19680,+2%,759607,873465
March 2022,989774,-3982,-1%,816512,889623
February 2022,993756,+4787,+1%,839793,904189
January 2022,988969,+39518,+4%,727924,854612
December 2021,949451,+12259,+1%,729325,814490
November 2021,937192,+72226,+8%,741448,817674
October 2021,864966,-80005,-9%,677309,770553
September 2021,944971,+142427,+18%,713077,792402
August 2021,802544,+39295,+5%,717106,749403
July 2021,763249,-166691,-18%,699806,732273
June 2021,929940,-157257,-15%,748956,816761
May 2021,1087197,-55515,-5%,896811,967298
April 2021,1142712,-53331,-5%,959367,1061081
March 2021,1196043,+72714,+7%,1001634,1096694
February 2021,1123329,+3043,0%,1007219,1054316
January 2021,1120286,-50545,-4%,981491,1045871
December 2020,1170831,+130780,+13%,901058,1016145
November 2020,1040051,+88303,+9%,865559,945521
October 2020,951748,-30112,-3%,789968,878970
September 2020,981860,+48645,+5%,809041,881153
August 2020,933215,+72128,+8%,826309,876438
July 2020,861087,-151101,-15%,818275,842193
June 2020,1012188,-185794,-16%,814327,901365
May 2020,1197982,-109673,-8%,963790,1059199
April 2020,1307655,+155196,+14%,1168810,1233448
March 2020,1152459,+217777,+23%,769331,975106
February 2020,934682,+111370,+14%,711333,798667
January 2020,823312,+51672,+7%,684222,731726
December 2019,771640,+7202,+1%,590776,677061
November 2019,764438,+8774,+1%,549825,638453
October 2019,755664,+32687,+5%,560890,626745
September 2019,722977,+71592,+11%,571595,635003
August 2019,651385,+72268,+13%,550748,591637
July 2019,579117,-12722,-2%,523885,550490
June 2019,591839,-1009,0%,516888,558275
May 2019,592848,-30627,-5%,492619,542120
April 2019,623475,-60477,-9%,501579,560287
March 2019,683952,+28510,+4%,560701,610459
February 2019,655442,-31170,-5%,533924,585691
January 2019,686612,-63026,-9%,578124,628967
December 2018,749638,+203446,+37%,452737,599759
November 2018,546192,-21724,-4%,427764,482373
October 2018,567916,-19136,-3%,440033,504814
September 2018,587052,+130601,+29%,420799,503069
August 2018,456451,+27230,+6%,377740,405859
July 2018,429221,+7333,+2%,365647,393021
June 2018,421888,-32094,-7%,356065,392381
May 2018,453982,-69845,-13%,374213,407268
April 2018,523827,-151309,-23%,421212,467606
March 2018,675136,-16060,-2%,523269,578613
February 2018,691196,-28821,-4%,573800,628463
January 2018,720017,+118666,+20%,561741,630457
December 2017,601351,-844,0%,481428,544171
November 2017,602195,-42531,-7%,482480,537017
October 2017,644726,-36006,-5%,513681,573685
September 2017,680732,+82076,+14%,524556,579179
August 2017,598656,-41621,-7%,502870,544997
July 2017,640277,+25041,+4%,502054,563208
June 2017,615236,-81953,-12%,513365,560884
May 2017,697189,-12652,-2%,538026,604085
April 2017,709841,-33257,-5%,583886,634842
March 2017,743098,-1370,0%,217330,634025
February 2017,744468,-70148,-9%,604612,669428
January 2017,814616,+152818,+23%,533873,657692
December 2016,661798,+34047,+6%,489354,565200
November 2016,627751,-34234,-5%,526953,575338
October 2016,661985,+24263,+4%,539952,590790
September 2016,637722,+38627,+7%,494875,563522
August 2016,599095,-37597,-6%,476678,531228
July 2016,636692,+58161,+10%,472029,537285
June 2016,578531,-90750,-14%,474429,536317
May 2016,669281,-180354,-21%,520788,577334
April 2016,849635,+75508,+10%,601428,664421
March 2016,774127,+34419,+5%,595563,655817
February 2016,739708,+72276,+11%,586432,636611
January 2016,667432,-157086,-19%,560439,615979
December 2015,824518,+37024,+5%,468518,634481
November 2015,787494,+56132,+8%,576160,638208
October 2015,731362,+5423,+1%,585391,648537
September 2015,725939,-93144,-11%,555683,632133
August 2015,819083,+272941,+50%,453921,553874
July 2015,546142,-65753,-11%,458165,507133
June 2015,611895,-69956,-10%,512402,570205
May 2015,681851,+111433,+20%,497478,546984
April 2015,570418,-25616,-4%,501062,528918
March 2015,596034,+140981,+31%,596034,596034
February 2015,455053,+11062,+3%,103820,366708
January 2015,443991,+74060,+20%,360288,401639
December 2014,369931,+20469,+6%,282908,313898
November 2014,349462,+87645,+34%,225206,260444
October 2014,261817,+19081,+8%,209913,233054
September 2014,242736,-34179,-12%,168682,219513
August 2014,276915,+82705,+43%,170546,210204
July 2014,194210,+29083,+18%,146053,162928
June 2014,165127,-8329,-5%,121445,139741
May 2014,173456,+30158,+21%,115286,144166
April 2014,143298,-21361,-13%,119699,133418
March 2014,164659,+44887,+38%,95877,123142
February 2014,119772,+17410,+17%,87397,102243
January 2014,102362,+5689,+6%,28190,92643
December 2013,96673,+2862,+3%,65933,78282
November 2013,93811,+40601,+76%,43651,55156
October 2013,53210,+1154,+2%,41443,47747
September 2013,52056,+429,+1%,38693,45315
August 2013,51627,+9216,+22%,29238,41384
July 2013,42411,+7851,+23%,27646,34615
June 2013,34560,-18872,-35%,27076,31485
May 2013,53432,+21301,+66%,25629,33245
April 2013,32131,-315,-1%,24713,28507
March 2013,32446,-3151,-9%,24470,28328
February 2013,35597,+4207,+14%,25874,30102
January 2013,31390,+3182,+11%,24645,27993
December 2012,28208,-22325,-44%,18231,23367
November 2012,50533,+29221,+137%,18291,24717
October 2012,21312,-15595,-42%,14962,17964
September 2012,36907,-15689,-30%,16992,24502
August 2012,52596,+50622,"+2,565%",1157,23870
July 2012,1974,-945,-32%,991,1500
June 2012,2919,+820,+39%,938,1458
May 2012,2099,+198,+11%,450,1102
April 2012,1901,+637,+50%,490,935
March 2012,1264,+1060,+520%,225,735
February 2012,204,+204,"+20,400%",204,204
January 2012,0,0,0%,0,0
December 2011,0,-679,-100%,0,0
November 2011,679,-,-,679,679
