Mês,Pico,Ganho,Ganho%,Pico_Mínimo_Diário,Pico_Médio_Diário
February 2026,870671,+13161,+2%,743693,788656
January 2026,857510,-47739,-5%,705157,771469
December 2025,905249,-3840,-1%,687249,800206
November 2025,909089,+45253,+5%,699238,798545
October 2025,863836,-83252,-9%,716015,767147
September 2025,947088,+125943,+15%,719572,818803
August 2025,821145,+159505,+24%,604980,712893
July 2025,661640,+8887,+1%,542293,591680
June 2025,652753,-10297,-2%,540936,587124
May 2025,663050,+26605,+4%,522351,585176
April 2025,636445,-19834,-3%,534854,572384
March 2025,656279,-52669,-8%,540724,582458
February 2025,708948,-10877,-2%,579877,628578
January 2025,719825,-25082,-3%,577645,641540
December 2024,744907,-52692,-7%,561704,635614
November 2024,797599,+91579,+13%,565946,677347
October 2024,706020,-21091,-3%,579784,620777
September 2024,727111,-6536,-1%,727111,727111
August 2024,733647,-66679,-8%,733647,733647
July 2024,800326,-70035,-8%,800326,800326
June 2024,870361,-71756,-8%,870361,870361
May 2024,942117,+20063,+2%,942117,942117
April 2024,922054,+192189,+26%,922054,922054
March 2024,729865,-11425,-2%,729865,729865
February 2024,741290,+4802,+1%,741290,741290
January 2024,736488,-65438,-8%,736488,736488
December 2023,801926,+34573,+5%,801926,801926
November 2023,767353,-13870,-2%,767353,767353
October 2023,781223,+3757,+1%,781223,781223
September 2023,777466,-78884,-9%,777466,777466
August 2023,856350,+153267,+22%,856350,856350
July 2023,703083,+23558,+4%,703083,703083
June 2023,679525,-33003,-5%,679525,679525
May 2023,712528,-97862,-12%,712528,712528
April 2023,810390,+57020,+8%,810390,810390
March 2023,753370,+71943,+11%,753370,753370
February 2023,681427,-82299,-11%,681427,681427
January 2023,763726,-64496,-8%,763726,763726
December 2022,828222,-162644,-17%,828222,828222
November 2022,990866,-39031,-4%,710459,818666
October 2022,1029897,+160983,+19%,604275,709988
September 2022,868914,+122776,+17%,514029,740854
August 2022,746138,+63295,+9%,590883,665801
July 2022,682843,-16156,-2%,574129,625210
June 2022,698999,+6778,+1%,597406,649380
May 2022,692221,-38632,-5%,587295,643088
April 2022,730853,-7336,-1%,612094,656940
March 2022,738189,+13511,+2%,589572,663356
February 2022,724678,-60572,-8%,605684,664584
January 2022,785250,+28115,+4%,638635,702863
December 2021,757135,+8462,+1%,564151,656231
