Mês,Pico,Ganho,Ganho%,Pico_Mínimo_Diário,Pico_Médio_Diário
February 2026,153532,-46495,-23%,103115,128049
January 2026,200027,+47034,+31%,96830,134824
December 2025,152993,-7059,-5%,88998,111416
November 2025,160052,+32796,+26%,76092,101777
October 2025,127256,-3487,-3%,76683,95384
September 2025,130743,-18411,-12%,80806,96050
August 2025,149154,-13081,-8%,87355,115332
July 2025,162235,+3230,+2%,84587,121457
June 2025,159005,-31247,-17%,79399,113368
May 2025,190252,-124632,-40%,130479,147529
April 2025,314884,+7827,+3%,154462,200263
March 2025,307057,-130657,-30%,169380,218062
February 2025,437714,-204619,-32%,285446,341288
January 2025,642333,+223919,+54%,377505,447381
December 2024,418414,-,-,306339,375406
