Mês,Pico,Ganho,Ganho%,Pico_Mínimo_Diário,Pico_Médio_Diário
February 2026,2238,-351,-14%,1703,1884
January 2026,2589,+287,+13%,1912,2148
December 2025,2302,-4,0%,1703,1943
November 2025,2306,+44,+2%,1763,1948
October 2025,2262,-36,-2%,1655,1886
September 2025,2298,-238,-9%,1729,2003
August 2025,2536,-1,0%,1903,2160
July 2025,2537,-170,-6%,1931,2164
June 2025,2707,-249,-9%,1987,2286
May 2025,2956,-129,-4%,2119,2416
April 2025,3085,-252,-8%,2116,2450
March 2025,3337,-791,-19%,2284,2728
February 2025,4128,-2588,-39%,2561,3110
January 2025,6716,-315,-5%,3180,4637
December 2024,7031,-215,-3%,4885,5580
November 2024,7246,-795,-10%,5580,6218
October 2024,8041,-782,-9%,5505,6246
September 2024,8823,-3891,-31%,8823,8823
August 2024,12714,+572,+5%,12714,12714
July 2024,12142,-443,-4%,12142,12142
June 2024,12585,-2702,-18%,12585,12585
May 2024,15287,-1984,-12%,15287,15287
April 2024,17271,-1488,-8%,17271,17271
March 2024,18759,-4039,-18%,18759,18759
February 2024,22798,-1179,-5%,22798,22798
January 2024,23977,+9111,+61%,23977,23977
December 2023,14866,-631,-4%,14866,14866
November 2023,15497,-922,-6%,15497,15497
October 2023,16419,+400,+3%,16419,16419
September 2023,16019,-240,-2%,16019,16019
August 2023,16259,-1615,-9%,16259,16259
July 2023,17874,+1497,+9%,17874,17874
June 2023,16377,-1504,-9%,16377,16377
May 2023,17881,-2369,-12%,17881,17881
April 2023,20250,+948,+5%,20250,20250
March 2023,19302,-3544,-16%,19302,19302
February 2023,22846,-4081,-15%,22846,22846
January 2023,26927,+12724,+90%,26927,26927
December 2022,14203,-1653,-11%,14203,14203
November 2022,15856,-763,-5%,11806,13641
October 2022,16619,-2232,-12%,12479,14071
September 2022,18851,-1705,-8%,10778,16029
August 2022,20556,-1764,-8%,14977,17006
July 2022,22320,+2676,+14%,16910,18908
June 2022,19644,-2148,-10%,15511,17873
May 2022,21792,+1845,+9%,14752,17815
April 2022,19947,-573,-3%,15531,17202
March 2022,20520,-2924,-13%,14592,16445
February 2022,23444,-4144,-15%,14892,19173
January 2022,27588,+7852,+40%,18591,21796
December 2021,19736,-1752,-8%,16140,17861
November 2021,21488,+1019,+5%,17095,18534
October 2021,20469,-2443,-11%,15226,17490
September 2021,22912,-1299,-5%,17029,19453
August 2021,24211,+1206,+5%,17845,20047
July 2021,23005,+956,+4%,16607,18840
June 2021,22049,-1453,-6%,17752,19406
May 2021,23502,+87,0%,18671,20586
April 2021,23415,-4143,-15%,19034,21216
March 2021,27558,+209,+1%,20479,22924
February 2021,27349,-3820,-12%,21503,24074
January 2021,31169,+10114,+48%,18660,22587
December 2020,21055,-1727,-8%,15024,18334
November 2020,22782,+776,+4%,17783,19878
October 2020,22006,-1593,-7%,15911,18044
September 2020,23599,-678,-3%,16310,19809
August 2020,24277,-3745,-13%,19546,21375
July 2020,28022,+3284,+13%,19641,22992
June 2020,24738,-874,-4%,19210,21426
May 2020,25612,-1591,-6%,20770,22873
April 2020,27203,+1823,+7%,23029,24880
March 2020,25380,+6813,+37%,14334,19531
February 2020,18567,+2479,+16%,13784,15685
January 2020,16088,+1042,+7%,12757,14246
December 2019,15046,-1359,-8%,11496,13107
November 2019,16405,+2545,+18%,9750,12750
October 2019,13860,-1,0%,9830,11359
September 2019,13861,-1303,-9%,10200,11482
August 2019,15164,+1939,+15%,9744,11818
July 2019,13225,-2195,-14%,10895,11635
June 2019,15420,-1739,-10%,11164,12589
May 2019,17159,+1102,+7%,11849,13388
April 2019,16057,-605,-4%,12074,13521
March 2019,16662,+2244,+16%,12121,13588
February 2019,14418,+2203,+18%,8311,11045
January 2019,12215,+205,+2%,9490,10441
December 2018,12010,-2052,-15%,7255,10164
November 2018,14062,+1706,+14%,8526,10541
October 2018,12356,-966,-7%,8867,10436
September 2018,13322,-58,-1%,9113,10949
August 2018,13380,-1482,-10%,10246,11698
July 2018,14862,+1657,+13%,11016,12295
June 2018,13205,-2710,-17%,10688,11746
May 2018,15915,-1484,-9%,10611,12690
April 2018,17399,-1963,-10%,11181,13495
March 2018,19362,+1058,+6%,11673,14491
February 2018,18304,-195,-1%,12508,15119
January 2018,18499,+3600,+24%,11945,14398
December 2017,14899,-2139,-13%,10101,12015
November 2017,17038,+1795,+12%,10985,13453
October 2017,15243,-675,-4%,10523,12514
September 2017,15918,-89,-1%,10741,12808
August 2017,16007,+319,+2%,11446,13239
July 2017,15688,-1666,-10%,12255,13416
June 2017,17354,+827,+5%,12447,14428
May 2017,16527,-3960,-19%,11042,13472
April 2017,20487,-1195,-6%,12754,15060
March 2017,21682,-1202,-5%,5756,15766
February 2017,22884,+506,+2%,14947,17527
January 2017,22378,+3075,+16%,13391,16564
December 2016,19303,+968,+5%,12198,14887
November 2016,18335,-1517,-8%,13061,15234
October 2016,19852,+812,+4%,13753,16294
September 2016,19040,+2228,+13%,12573,15294
August 2016,16812,+1576,+10%,12496,13997
July 2016,15236,-3169,-17%,11805,13045
June 2016,18405,-1411,-7%,10189,14579
May 2016,19816,-2911,-13%,12751,15556
April 2016,22727,-887,-4%,15538,18085
March 2016,23614,+4430,+23%,13058,17712
February 2016,19184,-2210,-10%,13045,16007
January 2016,21394,+6400,+43%,11306,15792
December 2015,14994,-4367,-23%,10035,12222
November 2015,19361,+9,0%,9837,12556
October 2015,19352,-625,-3%,11934,15177
September 2015,19977,-,-,267,12785
